star,constellation,right ascension,Declination,apparent magnitude,distance,spectral type,brown dwarf,mass,radius,orbital period,semimajor axis,ecc,discovery year
b'54 Piscium',b'Pisces',00h39m22s,"b'+21\xc2\xb0\xc2\xa015\'\xc2\xa002""'",5.88,36.1,b'K0V+T7.5\n',B,53,0.798691378056286,,476,,"2006
"
b'81 Cancri',b'Cancer',9h12m14.69s,"b'14\xc2\xb0\xc2\xa0 59 \'\xc2\xa0 39.6""'",6.77,66,b'L8',CD,,,,880,,"2001
"
b'AB Pictoris',b'Pictor',06h19s,"b'-58\xc2\xb0\xc2\xa003\'\xc2\xa015""'",9.16,66.6,b'K2V',b,13.5,,,275,,"2005
"
b'CD-33\xc2\xb07795',b'Hydra',11h31m55s,"b'\xe2\x80\x9334\xc2\xb0\xc2\xa036\'\xc2\xa017""'",11.37,163.08,b'M1\n',b,20,,,100,,"1998
"
b'CT Chamaeleontis',b'Chamaeleon',11h04m09s,"b'\xe2\x80\x9376\xc2\xb0\xc2\xa027\'\xc2\xa019""'",12.36,538,b'K7\n',b,17,2.2,,440,,"2008
"
b'Eta Coronae Borealis',b'Corona Borealis',15h23m22.6s,"b'30\xc2\xb0\xc2\xa014\'\xc2\xa056""'",5.02,58.3,b'L8\n',C,63,,,3600,,"2010
"
b'G 196-3',b'Ursa Major',10h04m22s,"b'+50\xc2\xb0\xc2\xa023\'\xc2\xa023""'",11.77,50.2,b'M2.5\n',b,25,,,300,,"1998
"
b'GD 165',b'Bo\xc3\xb6tes',14h24m39.144s,"b'9\xc2\xb0\xc2\xa017\'\xc2\xa013.98""'",14.6,103,b'D4A+L4\n',B,,,,,,"1988
"
b'Gliese 570',b'Libra',14h57m28s,"b'-21\xc2\xb0\xc2\xa024\'\xc2\xa056""'",5.64,19.0,b'K4V+M1V+M3V\n',D,52,,,1500,,"2000
"
b'GU Piscium',b'Pisces',01h12m35.04s,"b'+17\xc2\xb0\xc2\xa003\'\xc2\xa055.7""'",13.1,155.3,b'M3V\n',b,11,,,2000,,"2006
"
b'HD 89744',b'Ursa Major',10h22m10.56s,"b'+41\xc2\xb0\xc2\xa013\'\xc2\xa046.31""'",5.74,126.2,b'F7IV\n',B,,,,,,"2000
"
b'HD 100546',b'Musca',11h33m25s,"b'\xe2\x80\x9370\xc2\xb0\xc2\xa011\'\xc2\xa041""'",6.70,337.25,b'B9Vne\n',b,20,,,6.5?,,"2005
"
b'HN Pegasi',b'Pegasus',21h44m28.46s,"b'+14\xc2\xb0\xc2\xa046\'\xc2\xa07.8""'",,58.3,b'T2.5\n',B,28,1.01,,795,,"2006
"
b'LHS 4040',b'Sculptor',23h54m9.28s,"b'-33\xc2\xb0\xc2\xa0 16 \'\xc2\xa0 26.6""'",20.7,,b'M8.5V',C,,,,2200,,"2004
"
b'UScoCTIO 108',b'Scorpius',16h05m54s,"b'\xe2\x80\x9318\xc2\xb0\xc2\xa018\'\xc2\xa043""'",,473,b'M7\n',b,14,,,670,,"2007
"
b'WD 0137-349',b'Sculptor',01h39m43s,"b'-34\xc2\xb0\xc2\xa042\'\xc2\xa039""'",15.33,330,b'DA\n',B,53,,0.0803,0.0030,0,"2006
"
